manufacturer,version,power(kW),fuel_date,trip_distance(km),quantity(kWh),tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
Tesla Motors,Model S P85,310,15.09.2015,193.5,31.6,Summer tires,1,1,1,Normal,16.33,1,0,,3.63,
Tesla Motors,Model S P85,310,13.09.2015,227.4,48.8,Summer tires,1,1,1,Normal,21.46,1,0,,8.76,
Tesla Motors,Model S P85,310,12.09.2015,208.2,36,Summer tires,1,1,1,Normal,17.29,1,0,,4.59,
Tesla Motors,Model S P85,310,06.09.2015,214.6,37,Summer tires,1,1,1,Normal,17.24,1,0,,4.54,
Tesla Motors,Model S P85,310,06.09.2015,302.5,56.1,Summer tires,1,1,1,Normal,18.55,1,0,,5.85,
Tesla Motors,Model S P85,310,05.09.2015,209.3,37.1,Summer tires,1,1,1,Normal,17.73,1,0,,5.03,
Tesla Motors,Model S P85,310,30.08.2015,432.5,81.8,Summer tires,1,1,1,Normal,18.91,1,0,,6.21,
Tesla Motors,Model S P85,310,26.08.2015,268.8,47.8,Summer tires,1,1,1,Normal,17.78,1,0,,5.08,Passfahrt Susten - Grimsel - Nufenen - Gotthard
Tesla Motors,Model S P85,310,26.08.2015,359.2,62.7,Summer tires,1,1,1,Normal,17.46,1,0,,4.76,
Tesla Motors,Model S P85,310,23.08.2015,103.5,19,Summer tires,1,1,1,Normal,18.36,1,0,,5.66,
Tesla Motors,Model S P85,310,23.08.2015,353.2,66.3,Summer tires,1,1,1,Normal,18.77,1,0,,6.07,Passfahrt Susten - Grimsel - Nufenen - Gotthard
Tesla Motors,Model S P85,310,20.08.2015,208.5,37.2,Summer tires,1,1,1,Normal,17.84,1,0,,5.14,
Tesla Motors,Model S P85,310,16.08.2015,551.2,97,Summer tires,1,1,1,Normal,17.6,1,0,,4.9,
Tesla Motors,Model S P85,310,13.08.2015,491.4,92.9,Summer tires,1,1,1,Normal,18.91,1,0,,6.21,
Tesla Motors,Model S P85,310,11.08.2015,402,68.5,Summer tires,1,1,1,Normal,17.04,1,0,,4.34,
Tesla Motors,Model S P85,310,09.08.2015,329.9,62,Summer tires,1,1,1,Normal,18.79,1,0,,6.09,Passfahrt Susten - Grimsel - Nufenen - Gotthard
Tesla Motors,Model S P85,310,06.08.2015,21.4,3.9,Summer tires,1,1,1,Normal,18.22,1,0,,5.52,
Tesla Motors,Model S P85,310,05.08.2015,235,41.2,Summer tires,1,1,1,Normal,17.53,1,0,,4.83,
Tesla Motors,Model S P85,310,03.08.2015,499,93.8,Summer tires,1,1,1,Normal,18.8,1,0,,6.1,
Tesla Motors,Model S P85,310,28.07.2015,189.2,31.5,Summer tires,1,1,1,Normal,16.65,1,0,,3.95,
Tesla Motors,Model S P85,310,26.07.2015,241.6,43,Summer tires,1,1,1,Normal,17.8,1,0,,5.1,
Tesla Motors,Model S P85,310,25.07.2015,44.9,8.6,Summer tires,1,1,1,Normal,19.15,1,0,,6.45,
Tesla Motors,Model S P85,310,20.07.2015,443.5,79,Summer tires,1,1,1,Normal,17.81,1,0,,5.11,
Tesla Motors,Model S P85,310,15.07.2015,308.2,59.1,Summer tires,1,1,1,Fast,19.18,1,0,,6.48,Passfahrt sehr zügig gefahren
Tesla Motors,Model S P85,310,14.07.2015,306.8,54.3,Summer tires,1,1,1,Normal,17.7,1,0,,5,Passfahrt normal gefahren
