,manufacturer,version,power(kW),fuel_date,trip_distance(km),quantity(kWh),tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
0,Tesla Motors,90 D,327,22.06.2020,9841.1,1474.0,Summer tires,1,1,1,Normal,14.98,1,1,,2.28,"4-jahres-garantie abschlussinspektion (80kkm) + klimacheck, bremsflüssigkeit und luftfilter (klima) 431,59<br />ps. die &quot;teuren brocken&quot; haben 8 jahre garantie :-)"
1,Tesla Motors,90 D,327,09.01.2020,10161.5,1571.0,Summer tires,1,1,1,Normal,15.46,1,0,,2.76,ein kompletter rädersatz mit alus und sensoren 844.-
2,Tesla Motors,90 D,327,29.08.2019,10019.0,1413.7,Summer tires,1,1,1,Normal,14.11,1,0,,1.41,
3,Tesla Motors,90 D,327,27.04.2019,4808.0,749.2,Summer tires,1,1,1,Normal,15.58,1,1,,2.88,ab sofort wird nur noch alle 10kkm erfasst :-)
4,Tesla Motors,90 D,327,23.02.2019,5170.0,865.2,Summer tires,1,1,1,Normal,16.74,1,1,,4.04,strom über eigene pv (18kwp)
5,Tesla Motors,90 D,327,24.11.2018,15052.3,2117.4,Summer tires,1,1,0,Normal,14.07,1,1,,1.37,"2 reifen ersetzt (achse), da in einem reifen 2 nägel steckten - kosten 260.-"
6,Tesla Motors,90 D,327,01.04.2018,4745.3,787.5,Summer tires,1,1,0,Normal,16.6,1,1,,3.9,10.- monatsflatrate für öko-strom in der firma
7,Tesla Motors,90 D,327,29.01.2018,5025.4,823.7,Summer tires,1,1,0,Normal,16.39,1,0,,3.69,"ja, doch - teilweise mit Anhängerbetrieb"
8,Tesla Motors,90 D,327,14.10.2017,5116.7,741.6,Summer tires,1,1,1,Normal,14.49,0,0,,1.79,die Kosten ergeben sich durch &quot;Stromspenden&quot; bei kostenlosen Zapfsäulen z.B. Drehstromkiste / Hotels
9,Tesla Motors,90 D,327,10.08.2017,5678.1,810.2,Summer tires,1,1,1,Moderate,14.27,1,0,,1.57,
10,Tesla Motors,90 D,327,22.05.2017,4489.5,701.3,Summer tires,1,1,0,Normal,15.62,1,0,,2.92,"Die eingetragenen Werte sind die vom Bordcomputer erfassten Daten.<br />Der Erfassungszeitraum differiert etwas, für gewöhnlich ca. alle 5.000km erfolgt ein Update.<br />Die &quot;normalen&quot; Ladevorgänge erfolgen an der hauseigenen PV-Anlage."
11,Tesla Motors,85D,310,17.08.2020,15277.0,2389.0,Summer tires,0,0,1,Moderate,15.64,0,0,,2.94,
12,Tesla Motors,85D,310,16.08.2020,15276.0,2389.0,Summer tires,0,0,1,Moderate,15.64,0,0,,2.94,
14,Tesla Motors,P85,306,15.09.2014,4000.0,850.0,Summer tires,0,1,1,Normal,21.25,1,0,,8.55,
15,Tesla Motors,P85,306,11.08.2014,14000.0,3000.0,Summer tires,1,1,1,Fast,21.43,1,0,,8.73,
22,Tesla Motors,S85,285,22.08.2019,11019.0,2410.0,Summer tires,1,1,1,Normal,21.87,1,0,,9.17,2/3 des Stroms war kostenlos
23,Tesla Motors,S85,285,04.04.2019,5852.0,1333.0,Winter tires,1,1,1,Normal,22.78,1,1,,10.08,derzeit die Hälfte etwa kostenlos
24,Tesla Motors,S85,285,04.02.2019,11893.0,2669.0,Winter tires,1,1,1,Normal,22.44,1,1,,9.74,Derzeit so gut wie immer kostenlos Laden beim Arbeitgeber
25,Tesla Motors,S85,285,14.09.2018,3446.0,700.0,Summer tires,1,1,1,Normal,20.31,1,0,,7.61,Derzeit so gut wie immer kostenlos durch Laden beim Arbeitgeber. 
26,Tesla Motors,S85,285,31.07.2018,4460.0,974.0,Summer tires,1,1,1,Normal,21.84,1,0,,9.14,neue kostenlose Ladesäule beim Arbeitgeber
27,Tesla Motors,S85,285,17.04.2018,194.0,34.0,Winter tires,1,1,1,Moderate,17.53,1,0,,4.83,"- ohne Ladeverluste (etwa 7 %) aber mit Solaranlage (Eigenverbr-Einsp nicht rausgerechnet) und Ökostrom<br />- Langstrecke zügig mit Klima/Heizung, Pendelweg sparsam und oft ohne Heizung bzw. mit Sitz/Lenkradheizung aber per Standheizung vorgeheizt"
28,Tesla Motors,S85,285,17.04.2018,13143.0,3000.0,Winter tires,1,1,1,Moderate,22.83,1,0,,10.13,"- ohne Ladeverluste (etwa 7 %) aber mit Solaranlage (Eigenverbr-Einsp nicht rausgerechnet) und Ökostrom<br />- Langstrecke zügig mit Klima/Heizung, Pendelweg sparsam und oft ohne Heizung bzw. mit Sitz/Lenkradheizung <br />- oft in der Firma umsonst geladen"
29,Tesla Motors,S85,285,23.10.2017,6840.0,1359.3,Winter tires,1,1,1,Normal,19.87,1,0,,7.17,"- ohne Ladeverluste (etwa 7 %) aber mit Solaranlage (Eigenverbr-Einsp nicht rausgerechnet) und Ökostrom<br />- Langstrecke zügig mit Klima/Heizung, Pendelweg sparsam und oft ohne Heizung bzw. mit Sitz/Lenkradheizung aber per Standheizung vorgeheizt"
30,Tesla Motors,S85,285,03.08.2017,3434.0,729.0,Summer tires,1,1,1,Normal,21.23,1,0,,8.53,"- ohne Ladeverluste (etwa 7 %) aber mit Solaranlage (Eigenverbr-Einsp nicht rausgerechnet) und Ökostrom<br />- Langstrecke zügig mit Klima/Heizung, Pendelweg sparsam und oft ohne Heizung bzw. mit Sitz/Lenkradheizung aber per Standheizung vorgeheizt"
31,Tesla Motors,S85,285,28.06.2017,10822.0,2258.0,Summer tires,1,1,1,Normal,20.86,1,0,,8.16,"- ohne Ladeverluste (etwa 7 %) aber mit Solaranlage (Eigenverbr-Einsp nicht rausgerechnet) und Ökostrom<br />- Langstrecke zügig mit Klima/Heizung, Pendelweg sparsam und oft ohne Heizung bzw. mit Sitz/Lenkradheizung aber per Standheizung vorgeheizt"
32,Tesla Motors,S85,285,01.03.2017,5168.0,1183.0,Winter tires,1,1,1,Normal,22.89,1,1,,10.19,"- ohne Ladeverluste (etwa 7 %) aber mit Solaranlage (Eigenverbr-Einsp nicht rausgerechnet) und Ökostrom<br />- Langstrecke zügig mit Klima/Heizung, Pendelweg sparsam und oft ohne Heizung bzw. mit Sitz/Lenkradheizung aber per Standheizung vorgeheizt"
33,Tesla Motors,S85,285,19.12.2016,9427.0,2050.0,Winter tires,1,1,1,Normal,21.75,1,1,,9.05,2000 km Supercharger Nutzung - nichts bezahlt.
34,Tesla Motors,S85,285,16.08.2016,5090.0,1030.0,Summer tires,1,1,1,Normal,20.24,1,0,,7.54,Supercharger viel genutzt<br />Viel Solarenergie - Kosten vermutlich deutlich niedriger diesmal
35,Tesla Motors,S85,285,10.06.2016,6309.0,1320.0,Summer tires,1,1,1,Normal,20.92,1,1,,8.22,1000 km davon per Supercharger kostenlos aufgeladen
36,Tesla Motors,S85,285,29.03.2016,4561.0,1080.0,Winter tires,1,1,1,Normal,23.68,1,1,,10.98,"- ohne Ladeverluste (etwa 7 %) aber mit Solaranlage (Eigenverbr-Einsp nicht rausgerechnet) und Ökostrom<br />- Langstrecke zügig mit Klima/Heizung, Pendelweg sparsam und oft ohne Heizung bzw. mit Sitz/Lenkradheizung aber per Standheizung vorgeheizt"
37,Tesla Motors,S85,285,20.01.2016,8806.0,1960.0,Winter tires,1,1,1,Normal,22.26,1,1,,9.56,"- ohne Ladeverluste (etwa 7 %) aber mit Solaranlage (Eigenverbr-Einsp nicht rausgerechnet) und Ökostrom<br />- Langstrecke zügig mit Klima/Heizung, Pendelweg sparsam und oft ohne Heizung bzw. mit Sitz/Lenkradheizung aber per Standheizung vorgeheizt"
38,Tesla Motors,S85,285,09.09.2015,6400.0,1328.0,Summer tires,1,1,1,Normal,20.75,1,1,,8.05,"- ohne Ladeverluste (etwa 7 %) aber mit Solaranlage (Eigenverbr-Einsp nicht rausgerechnet) und Ökostrom<br />- Langstrecke zügig mit Klima, Pendelweg sparsam und oft ohne Klima<br />- 3 kostenl Superchargerladungen mit etwa 100 kW nicht rausgerechnet (24€)"
39,Tesla Motors,S85,285,27.04.2015,3000.0,627.0,Summer tires,1,1,1,Normal,20.9,1,0,,8.2,Ökostrom
44,Tesla Motors,Model S 60,235,04.07.2020,243.0,46.8,Summer tires,1,0,1,Normal,19.26,1,1,,6.56,georg
45,Tesla Motors,Model S 60,235,20.06.2020,180.0,52.0,Summer tires,1,0,1,Normal,21.21,1,1,,8.51,suc
46,Tesla Motors,Model S 60,235,20.06.2020,216.0,32.0,Summer tires,1,0,1,Normal,21.21,1,1,,8.51,suc
47,Tesla Motors,Model S 60,235,20.06.2020,221.0,31.57,Summer tires,1,0,1,Normal,16.57,1,1,,3.87,
48,Tesla Motors,Model S 60,235,16.06.2020,180.0,20.0,Summer tires,1,0,1,Normal,16.57,1,1,,3.87,suc
49,Tesla Motors,Model S 60,235,15.06.2020,147.0,32.95,Summer tires,1,0,1,Normal,16.57,1,1,,3.87,pv
50,Tesla Motors,Model S 60,235,09.06.2020,22.0,12.09,Summer tires,1,0,1,Normal,16.57,1,1,,3.87,pv
51,Tesla Motors,Model S 60,235,08.06.2020,153.0,23.22,Summer tires,1,0,1,Normal,16.57,1,1,,3.87,pv
52,Tesla Motors,Model S 60,235,01.06.2020,47.0,20.05,Summer tires,1,0,1,Normal,23.04,1,1,,10.34,pv
53,Tesla Motors,Model S 60,235,28.05.2020,22.0,10.31,Summer tires,1,0,1,Normal,23.04,1,1,,10.34,pv
54,Tesla Motors,Model S 60,235,28.05.2020,87.0,6.63,Summer tires,1,0,1,Normal,23.04,1,1,,10.34,pv
55,Tesla Motors,Model S 60,235,27.05.2020,43.0,19.49,Winter tires,1,0,1,Normal,23.04,1,1,,10.34,pv
56,Tesla Motors,Model S 60,235,21.05.2020,137.0,20.94,Winter tires,1,0,1,Normal,23.04,1,1,,10.34,pv
57,Tesla Motors,Model S 60,235,20.05.2020,395.0,93.6,Winter tires,1,0,1,Normal,23.7,1,1,,11.0,pv
58,Tesla Motors,Model S 60,235,05.05.2020,153.0,40.24,Winter tires,1,0,1,Normal,22.46,1,1,,9.76,pv
59,Tesla Motors,Model S 60,235,03.05.2020,11.0,32.96,Winter tires,1,0,1,Normal,22.46,1,1,,9.76,
60,Tesla Motors,Model S 60,235,02.05.2020,155.0,4.57,Winter tires,1,0,1,Normal,22.46,1,1,,9.76,pv
61,Tesla Motors,Model S 60,235,28.04.2020,145.0,37.34,Winter tires,1,0,1,Normal,22.46,1,1,,9.76,
62,Tesla Motors,Model S 60,235,27.04.2020,144.0,20.9,Winter tires,1,0,1,Normal,22.46,1,1,,9.76,pv
63,Tesla Motors,Model S 60,235,24.04.2020,147.0,33.59,Winter tires,1,0,1,Normal,22.46,1,1,,9.76,pv
64,Tesla Motors,Model S 60,235,19.04.2020,140.0,27.4,Winter tires,1,0,1,Normal,17.03,1,1,,4.33,pv
65,Tesla Motors,Model S 60,235,16.04.2020,140.0,20.29,Winter tires,1,0,1,Normal,17.03,1,1,,4.33,pv
66,Tesla Motors,Model S 60,235,12.04.2020,10.0,18.44,Winter tires,1,0,1,Normal,18.0,1,1,,5.3,pv
67,Tesla Motors,Model S 60,235,10.04.2020,129.0,24.64,Winter tires,1,0,1,Normal,18.0,1,1,,5.3,pv
68,Tesla Motors,Model S 60,235,09.04.2020,139.0,20.5,Winter tires,1,0,1,Normal,18.0,1,1,,5.3,pv
69,Tesla Motors,Model S 60,235,06.04.2020,268.0,44.59,Winter tires,1,0,1,Normal,18.0,1,1,,5.3,pv1
70,Tesla Motors,Model S 60,235,31.03.2020,134.0,12.41,Winter tires,1,0,1,Normal,18.0,1,1,,5.3,pv
71,Tesla Motors,Model S 60,235,31.03.2020,1.0,23.0,Winter tires,1,0,1,Normal,18.0,1,1,,5.3,pv
72,Tesla Motors,Model S 60,235,29.03.2020,173.0,15.15,Winter tires,1,0,1,Normal,18.0,1,1,,5.3,
73,Tesla Motors,Model S 60,235,26.03.2020,378.0,64.82,Winter tires,1,0,1,Normal,18.0,1,1,,5.3,
74,Tesla Motors,Model S 60,235,17.03.2020,142.0,30.25,Winter tires,1,0,1,Normal,18.0,1,1,,5.3,
75,Tesla Motors,Model S 60,235,10.03.2020,263.0,40.86,Winter tires,1,0,1,Normal,18.0,1,1,,5.3,
76,Tesla Motors,Model S 60,235,04.03.2020,136.0,43.11,Winter tires,1,0,1,Normal,25.87,1,1,,13.17,
77,Tesla Motors,Model S 60,235,02.03.2020,136.0,39.81,Winter tires,1,0,1,Normal,25.87,1,1,,13.17,
78,Tesla Motors,Model S 60,235,28.02.2020,73.0,20.38,Winter tires,1,0,1,Normal,25.87,1,1,,13.17,
79,Tesla Motors,Model S 60,235,27.02.2020,136.0,19.21,Winter tires,1,0,1,Normal,25.87,1,1,,13.17,
80,Tesla Motors,Model S 60,235,25.02.2020,169.0,47.86,Winter tires,1,0,1,Normal,25.87,1,1,,13.17,
81,Tesla Motors,Model S 60,235,21.02.2020,177.0,41.46,Winter tires,1,0,1,Normal,25.87,1,1,,13.17,
82,Tesla Motors,Model S 60,235,18.02.2020,93.0,26.2,Winter tires,1,0,1,Normal,25.87,1,1,,13.17,
83,Tesla Motors,Model S 60,235,15.02.2020,217.0,51.03,Winter tires,1,0,1,Normal,23.38,1,1,,10.68,
84,Tesla Motors,Model S 60,235,14.02.2020,82.0,32.96,Winter tires,1,0,1,Normal,23.38,1,1,,10.68,
85,Tesla Motors,Model S 60,235,13.02.2020,146.0,31.71,Winter tires,1,0,1,Normal,23.38,1,1,,10.68,
86,Tesla Motors,Model S 60,235,11.02.2020,28.0,10.99,Winter tires,1,0,1,Normal,23.38,1,1,,10.68,
87,Tesla Motors,Model S 60,235,09.02.2020,15.0,23.78,Winter tires,1,0,1,Normal,23.38,1,1,,10.68,
88,Tesla Motors,Model S 60,235,07.02.2020,104.0,31.42,Winter tires,1,0,1,Normal,23.38,1,1,,10.68,
89,Tesla Motors,Model S 60,235,05.02.2020,95.0,17.67,Winter tires,1,0,1,Normal,23.38,1,1,,10.68,
90,Tesla Motors,Model S 60,235,05.02.2020,96.0,30.0,Winter tires,1,0,1,Normal,23.38,1,1,,10.68,suc1
91,Tesla Motors,Model S 60,235,02.02.2020,80.0,24.39,Winter tires,1,0,1,Normal,23.38,1,1,,10.68,
92,Tesla Motors,Model S 60,235,02.02.2020,156.0,12.37,Winter tires,1,0,1,Normal,23.38,1,1,,10.68,
93,Tesla Motors,Model S 60,235,31.01.2020,11.0,23.6,Winter tires,1,0,1,Normal,23.38,1,1,,10.68,
94,Tesla Motors,Model S 60,235,30.01.2020,78.0,23.45,Winter tires,1,0,1,Normal,23.38,1,1,,10.68,
95,Tesla Motors,Model S 60,235,30.01.2020,22.0,4.39,Winter tires,1,0,1,Normal,23.38,1,1,,10.68,
96,Tesla Motors,Model S 60,235,27.01.2020,130.0,23.71,Winter tires,1,0,1,Normal,23.38,1,1,,10.68,
97,Tesla Motors,Model S 60,235,27.01.2020,183.0,27.5,Winter tires,1,0,1,Normal,23.38,1,1,,10.68,
98,Tesla Motors,Model S 60,235,24.01.2020,102.0,31.7,Winter tires,1,0,1,Normal,23.38,1,1,,10.68,
99,Tesla Motors,Model S 60,235,24.01.2020,0.0,10.0,Winter tires,1,0,1,Normal,23.38,1,1,,10.68,suc
100,Tesla Motors,Model S 60,235,23.01.2020,93.0,42.1,Winter tires,1,0,1,Normal,23.38,1,1,,10.68,
101,Tesla Motors,Model S 60,235,17.01.2020,329.0,30.22,Winter tires,1,0,1,Normal,23.38,1,1,,10.68,
102,Tesla Motors,Model S 60,235,15.01.2020,52.0,32.0,Winter tires,1,0,1,Normal,23.38,1,1,,10.68,
103,Tesla Motors,Model S 60,235,10.01.2020,78.0,24.03,Winter tires,1,0,1,Normal,23.38,1,1,,10.68,
104,Tesla Motors,Model S 60,235,06.01.2020,114.0,24.64,Winter tires,1,0,1,Normal,23.38,1,1,,10.68,
105,Tesla Motors,Model S 60,235,28.12.2019,167.0,15.0,Winter tires,1,1,1,Moderate,23.38,1,1,,10.68,beethivenszr
106,Tesla Motors,Model S 60,235,23.12.2019,179.0,20.0,Winter tires,1,1,1,Moderate,23.38,1,1,,10.68,mg
107,Tesla Motors,Model S 60,235,15.12.2019,206.0,47.38,Winter tires,1,1,1,Moderate,23.38,1,1,,10.68,
108,Tesla Motors,Model S 60,235,04.12.2019,88.0,53.0,Winter tires,1,1,1,Normal,23.12,1,1,,10.42,suc
109,Tesla Motors,Model S 60,235,01.12.2019,102.0,19.2,Winter tires,1,1,1,Normal,23.12,1,1,,10.42,
110,Tesla Motors,Model S 60,235,30.11.2019,154.0,27.0,Winter tires,0,1,0,Normal,23.12,1,1,,10.42,suc
111,Tesla Motors,Model S 60,235,30.11.2019,258.0,40.0,Winter tires,0,1,0,Normal,23.12,1,1,,10.42,suc
112,Tesla Motors,Model S 60,235,30.11.2019,143.0,40.0,Winter tires,0,1,0,Normal,18.72,1,1,,6.02,suc
113,Tesla Motors,Model S 60,235,30.11.2019,247.0,33.0,Winter tires,0,1,0,Normal,18.72,1,1,,6.02,suc
114,Tesla Motors,Model S 60,235,30.11.2019,9.8,50.31,Winter tires,1,1,1,Normal,27.5,1,1,,14.8,
115,Tesla Motors,Model S 60,235,29.11.2019,78.0,26.0,Winter tires,1,1,1,Normal,27.5,1,1,,14.8,beethove str
116,Tesla Motors,Model S 60,235,28.11.2019,167.0,39.17,Winter tires,1,1,1,Normal,27.5,1,1,,14.8,
117,Tesla Motors,Model S 60,235,23.11.2019,126.0,52.74,Winter tires,1,1,1,Normal,27.5,1,1,,14.8,
118,Tesla Motors,Model S 60,235,23.11.2019,243.0,28.0,Winter tires,0,1,0,Normal,27.5,1,1,,14.8,suc
119,Tesla Motors,Model S 60,235,23.11.2019,194.0,52.0,Winter tires,0,1,0,Normal,27.5,1,1,,14.8,suc
120,Tesla Motors,Model S 60,235,22.11.2019,90.0,36.6,Winter tires,1,1,1,Normal,27.5,1,1,,14.8,
121,Tesla Motors,Model S 60,235,22.11.2019,113.0,29.0,Winter tires,0,1,0,Normal,27.5,1,1,,14.8,suc
122,Tesla Motors,Model S 60,235,22.11.2019,158.0,31.0,Winter tires,1,1,1,Normal,27.5,1,1,,14.8,suc
123,Tesla Motors,Model S 60,235,22.11.2019,126.0,14.0,Winter tires,0,1,0,Normal,27.5,1,1,,14.8,suc
124,Tesla Motors,Model S 60,235,22.11.2019,82.0,48.45,Winter tires,1,1,1,Normal,27.21,1,1,,14.51,
125,Tesla Motors,Model S 60,235,21.11.2019,129.0,24.04,Winter tires,1,1,1,Normal,27.21,1,1,,14.51,
126,Tesla Motors,Model S 60,235,14.11.2019,89.0,30.5,Winter tires,1,1,1,Normal,27.21,1,1,,14.51,
127,Tesla Motors,Model S 60,235,08.11.2019,206.0,52.79,Summer tires,1,1,1,Normal,27.21,1,1,,14.51,
128,Tesla Motors,Model S 60,235,07.11.2019,63.0,24.05,Summer tires,1,1,1,Normal,27.21,1,1,,14.51,
129,Tesla Motors,Model S 60,235,01.11.2019,118.0,52.56,Summer tires,1,1,1,Normal,27.21,1,1,,14.51,
130,Tesla Motors,Model S 60,235,30.10.2019,165.0,24.0,Summer tires,1,1,1,Normal,27.21,1,1,,14.51,
131,Tesla Motors,Model S 60,235,30.10.2019,252.0,44.0,Summer tires,1,1,1,Normal,27.21,1,1,,14.51,suc
132,Tesla Motors,Model S 60,235,30.10.2019,84.0,28.86,Summer tires,1,1,1,Normal,25.34,1,1,,12.64,
133,Tesla Motors,Model S 60,235,28.10.2019,95.0,37.74,Summer tires,1,1,1,Normal,25.34,1,1,,12.64,
134,Tesla Motors,Model S 60,235,24.10.2019,121.0,21.19,Summer tires,1,1,1,Normal,25.34,1,1,,12.64,
135,Tesla Motors,Model S 60,235,13.10.2019,123.0,36.02,Summer tires,1,1,1,Normal,25.34,1,1,,12.64,
136,Tesla Motors,Model S 60,235,02.10.2019,21.0,6.06,Summer tires,0,1,0,Normal,25.34,1,1,,12.64,pv
137,Tesla Motors,Model S 60,235,29.09.2019,138.0,48.87,Summer tires,0,1,0,Normal,25.34,1,1,,12.64,
138,Tesla Motors,Model S 60,235,28.09.2019,179.0,42.0,Summer tires,0,1,0,Normal,25.34,1,1,,12.64,suc
139,Tesla Motors,Model S 60,235,28.09.2019,181.0,38.0,Summer tires,0,1,0,Normal,25.34,1,1,,12.64,suc
140,Tesla Motors,Model S 60,235,28.09.2019,221.0,36.0,Summer tires,0,1,0,Normal,25.34,1,1,,12.64,suc
141,Tesla Motors,Model S 60,235,28.09.2019,30.0,6.0,Summer tires,0,1,0,Normal,16.86,1,1,,4.16,
142,Tesla Motors,Model S 60,235,27.09.2019,150.0,42.43,Summer tires,0,1,0,Normal,16.86,1,1,,4.16,
143,Tesla Motors,Model S 60,235,24.09.2019,119.0,19.0,Summer tires,0,1,0,Normal,16.86,1,1,,4.16,suc
144,Tesla Motors,Model S 60,235,22.09.2019,91.0,13.53,Summer tires,0,1,0,Normal,16.86,1,1,,4.16,pv
145,Tesla Motors,Model S 60,235,21.09.2019,268.0,30.0,Summer tires,0,1,0,Normal,16.86,1,1,,4.16,suc
146,Tesla Motors,Model S 60,235,21.09.2019,105.0,41.24,Summer tires,0,1,0,Normal,20.07,1,1,,7.37,
147,Tesla Motors,Model S 60,235,20.09.2019,250.0,30.0,Summer tires,0,1,0,Normal,20.07,1,1,,7.37,suc
148,Tesla Motors,Model S 60,235,20.09.2019,162.0,61.0,Summer tires,0,1,0,Normal,30.68,1,1,,17.98,
149,Tesla Motors,Model S 60,235,17.09.2019,89.0,16.0,Summer tires,0,1,0,Normal,30.68,1,1,,17.98,suc
150,Tesla Motors,Model S 60,235,17.09.2019,198.0,30.0,Summer tires,0,1,0,Normal,17.7,1,1,,5.0,suc
151,Tesla Motors,Model S 60,235,16.09.2019,96.0,22.0,Summer tires,0,1,0,Normal,17.7,1,1,,5.0,suc
152,Tesla Motors,Model S 60,235,16.09.2019,92.0,30.12,Summer tires,0,1,0,Normal,17.7,1,1,,5.0,
153,Tesla Motors,Model S 60,235,13.09.2019,108.0,19.0,Summer tires,0,1,0,Normal,17.7,1,1,,5.0,suc
154,Tesla Motors,Model S 60,235,13.09.2019,138.0,33.92,Summer tires,0,1,0,Normal,17.7,1,1,,5.0,
155,Tesla Motors,Model S 60,235,12.09.2019,179.0,10.82,Summer tires,0,1,0,Normal,17.7,1,1,,5.0,
156,Tesla Motors,Model S 60,235,12.09.2019,10.0,12.87,Summer tires,0,1,0,Normal,17.7,1,1,,5.0,
157,Tesla Motors,Model S 60,235,05.09.2019,53.0,13.0,Summer tires,0,1,0,Normal,17.7,1,1,,5.0,
158,Tesla Motors,Model S 60,235,02.09.2019,123.0,7.93,Summer tires,0,1,0,Normal,17.7,1,1,,5.0,mg
159,Tesla Motors,Model S 60,235,02.09.2019,227.0,59.99,Summer tires,0,1,0,Normal,17.7,1,1,,5.0,pv<br />Diverse zusammen gefasst
160,Tesla Motors,Model S 60,235,26.08.2019,367.0,59.99,Summer tires,0,1,0,Normal,17.7,1,1,,5.0,pv<br />Diverse zusammen gefasst
161,Tesla Motors,Model S 60,235,19.08.2019,85.0,22.0,Summer tires,0,1,0,Normal,17.7,1,1,,5.0,suc
162,Tesla Motors,Model S 60,235,19.08.2019,28.0,6.54,Summer tires,0,1,0,Normal,17.7,1,1,,5.0,
163,Tesla Motors,Model S 60,235,18.08.2019,98.0,29.0,Summer tires,0,1,0,Normal,17.7,1,1,,5.0,mg
164,Tesla Motors,Model S 60,235,15.08.2019,214.0,22.54,Summer tires,0,1,0,Normal,17.7,1,1,,5.0,pv
165,Tesla Motors,Model S 60,235,13.08.2019,270.0,25.0,Summer tires,0,1,0,Normal,17.7,1,1,,5.0,suc
166,Tesla Motors,Model S 60,235,12.08.2019,240.0,46.0,Summer tires,0,1,0,Normal,19.17,1,1,,6.47,SUC
167,Tesla Motors,Model S 60,235,11.08.2019,120.0,28.76,Summer tires,0,1,0,Normal,23.97,1,1,,11.27,MSC Schüchtern
168,Tesla Motors,Model S 60,235,10.08.2019,125.0,52.0,Summer tires,0,1,0,Normal,21.53,1,1,,8.83,SUC
169,Tesla Motors,Model S 60,235,10.08.2019,279.0,35.0,Summer tires,0,1,0,Normal,21.53,1,1,,8.83,suc
170,Tesla Motors,Model S 60,235,10.08.2019,132.0,47.4,Summer tires,0,1,0,Normal,22.8,1,1,,10.1,BAB 150 km/h
171,Tesla Motors,Model S 60,235,09.08.2019,247.0,39.0,Summer tires,0,1,0,Normal,22.8,1,1,,10.1,suc
172,Tesla Motors,Model S 60,235,09.08.2019,230.0,43.0,Summer tires,0,1,0,Normal,21.47,1,1,,8.77,suc
173,Tesla Motors,Model S 60,235,09.08.2019,96.0,27.0,Summer tires,1,1,0,Normal,21.47,1,1,,8.77,sune
174,Tesla Motors,Model S 60,235,02.08.2019,32.0,32.0,Summer tires,0,1,0,Normal,22.53,1,1,,9.83,mg
175,Tesla Motors,Model S 60,235,30.07.2019,187.0,36.5,Summer tires,1,1,0,Normal,22.53,1,1,,9.83,mg
176,Tesla Motors,Model S 60,235,27.07.2019,157.0,48.0,Summer tires,1,1,0,Normal,22.53,1,1,,9.83,suc
177,Tesla Motors,Model S 60,235,27.07.2019,115.0,26.0,Summer tires,1,1,0,Normal,22.53,1,1,,9.83,suc
178,Tesla Motors,Model S 60,235,27.07.2019,208.0,15.0,Summer tires,1,1,0,Normal,22.53,1,1,,9.83,suc
179,Tesla Motors,Model S 60,235,27.07.2019,101.0,26.83,Summer tires,1,1,0,Normal,26.56,1,1,,13.86,pv
180,Tesla Motors,Model S 60,235,25.07.2019,83.0,45.0,Summer tires,0,1,0,Normal,20.7,1,1,,8.0,suc
181,Tesla Motors,Model S 60,235,25.07.2019,79.0,3.32,Summer tires,0,1,0,Normal,20.7,1,1,,8.0,pv
182,Tesla Motors,Model S 60,235,25.07.2019,118.0,52.93,Summer tires,0,1,0,Normal,20.7,1,1,,8.0,pv 
183,Tesla Motors,Model S 60,235,20.07.2019,69.0,9.9,Summer tires,0,1,0,Normal,20.7,1,1,,8.0,pv
184,Tesla Motors,Model S 60,235,18.07.2019,212.0,5.0,Summer tires,0,1,0,Normal,20.7,1,1,,8.0,pv
185,Tesla Motors,Model S 60,235,16.07.2019,79.0,55.0,Summer tires,0,1,0,Normal,15.96,1,1,,3.26,suc
186,Tesla Motors,Model S 60,235,16.07.2019,201.0,37.89,Summer tires,0,1,0,Normal,15.96,1,1,,3.26,pv
187,Tesla Motors,Model S 60,235,08.07.2019,226.0,19.5,Summer tires,0,1,0,Normal,15.96,1,1,,3.26,
188,Tesla Motors,Model S 60,235,03.07.2019,279.0,30.0,Summer tires,0,1,0,Normal,15.96,1,1,,3.26,suc
189,Tesla Motors,Model S 60,235,24.06.2019,267.0,24.95,Summer tires,0,1,0,Normal,15.96,1,1,,3.26,pv
190,Tesla Motors,Model S 60,235,18.06.2019,180.0,29.0,Summer tires,0,1,0,Normal,15.96,1,1,,3.26,suc
191,Tesla Motors,Model S 60,235,18.06.2019,243.0,39.0,Summer tires,0,1,0,Normal,15.96,1,1,,3.26,suc
192,Tesla Motors,Model S 60,235,18.06.2019,244.0,35.0,Summer tires,0,1,0,Normal,16.56,1,1,,3.86,
193,Tesla Motors,Model S 60,235,05.06.2019,439.0,43.0,Summer tires,0,1,0,Normal,16.56,1,1,,3.86,pv
194,Tesla Motors,Model S 60,235,14.05.2019,42.0,16.66,Summer tires,0,1,0,Normal,16.56,1,1,,3.86,pv
195,Tesla Motors,Model S 60,235,13.05.2019,22.0,17.68,Summer tires,0,1,0,Normal,16.56,1,1,,3.86,pv
196,Tesla Motors,Model S 60,235,11.05.2019,22.0,4.68,Summer tires,0,1,0,Normal,16.56,1,1,,3.86,pv
