manufacturer,version,power(kW),fuel_date,trip_distance(km),quantity(kWh),tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation
Volkswagen,e-Golf,85,05.10.2018,103,11.35,Summer tires,0,1,0,Moderate,12.4,0,0,70,-4.4
Volkswagen,e-Golf,85,29.09.2018,18,2.23,Summer tires,0,0,1,Moderate,17,0,0,48,0.2
Volkswagen,e-Golf,85,29.09.2018,71,3.75,Summer tires,0,0,1,Moderate,12.8,0,0,75,-4
Volkswagen,e-Golf,85,28.09.2018,75,9.82,Summer tires,0,0,1,Moderate,13.1,0,0,41,-3.7
Volkswagen,e-Golf,85,27.09.2018,32,9.78,Summer tires,0,1,0,Moderate,11.4,0,0,65,-5.4
Volkswagen,e-Golf,85,27.09.2018,118,3.41,Summer tires,0,1,0,Moderate,12.1,0,0,67,-4.7
Volkswagen,e-Golf,85,27.09.2018,95,13.76,Summer tires,0,0,1,Moderate,12.2,0,0,59,-4.6
Volkswagen,e-Golf,85,27.09.2018,37,9.2,Summer tires,0,1,0,Moderate,13.6,0,0,56,-3.2
Volkswagen,e-Golf,85,26.09.2018,71,7.62,Summer tires,0,1,0,Moderate,11.8,0,0,77,-5
Volkswagen,e-Golf,85,26.09.2018,101,14.51,Summer tires,0,1,0,Moderate,13,0,0,69,-3.8
Volkswagen,e-Golf,85,25.09.2018,72,13.99,Summer tires,0,1,0,Moderate,12,0,0,69,-4.8
Volkswagen,e-Golf,85,25.09.2018,100,11.35,Summer tires,0,1,0,Moderate,13.3,0,0,70,-3.5
Volkswagen,e-Golf,85,24.09.2018,72,9.9,Summer tires,0,1,0,Moderate,13.1,0,0,67,-3.7
Volkswagen,e-Golf,85,24.09.2018,92,10.42,Summer tires,0,1,0,Moderate,14,0,1,50,-2.8
Volkswagen,e-Golf,85,20.09.2018,24,6.5,Summer tires,0,1,0,Moderate,11,0,0,32,-5.8
Volkswagen,e-Golf,85,20.09.2018,86,10.97,Summer tires,0,1,0,Moderate,12.3,0,0,73,-4.5
Volkswagen,e-Golf,85,19.09.2018,16,1.12,Summer tires,0,1,0,Moderate,11.9,0,0,59,-4.9
Volkswagen,e-Golf,85,19.09.2018,72,13.22,Summer tires,0,1,0,Moderate,12.1,0,0,75,-4.7
Volkswagen,e-Golf,85,19.09.2018,101,10.97,Summer tires,0,1,0,Moderate,12.3,0,0,57,-4.5
Volkswagen,e-Golf,85,18.09.2018,117,10.42,Summer tires,0,1,1,Moderate,12.2,0,0,70,-4.6
