manufacturer,version,fuel_date,trip_distance(km),power(kW),quantity(kWh),tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
Renault,ZOE Intens R240,01.09.2018,627,43,84,Summer tires,1,0,1,Normal,13.4,0,0,31.6,-0.4,"48,9 kWh kostenpflichtig "
Renault,ZOE Intens R240,01.08.2018,248,43,33,Summer tires,1,0,1,Normal,13.4,0,0,32,-0.4,Nur auswärts kostenfrei geladen.
Renault,ZOE Intens R240,06.07.2018,707,43,99,Summer tires,1,0,1,Normal,14.1,0,0,30.9,0.3,"Heimzählerstand 543,6 kWh"
Renault,ZOE Intens R240,31.05.2018,754,43,106,Summer tires,1,0,1,Normal,14.1,0,0,32.4,0.3,"Heimzählerstand 457,2 kWh"
Renault,ZOE Intens R240,01.05.2018,345,43,51,Summer tires,1,0,1,Normal,14.8,0,0,32,1,"Heimzählerstand 392,6<br />neuer Startwert 395,5 wegen Ladung eines Probefahrtautos"
Renault,ZOE Intens R240,14.04.2018,251,43,35,Winter tires,1,0,1,Normal,14.2,0,0,26.8,0.4,"Heimzählerstand 384,0 kWh"
Renault,ZOE Intens R240,29.03.2018,552,43,110,Winter tires,1,0,1,Normal,19.9,0,0,29.6,6.1,"Heimzählerstand 379,5 kWh"
Renault,ZOE Intens R240,28.02.2018,476,43,107,Winter tires,1,0,1,Normal,22.6,0,0,27.8,8.8,"Heimzählerstand 319,6 kWh<br />"
Renault,ZOE Intens R240,31.01.2018,365,43,75,Winter tires,1,0,1,Normal,20.5,0,0,26.9,6.7,"Heimzählerstand 271,7 kWh"
Renault,ZOE Intens R240,30.12.2017,359,43,59,Winter tires,1,1,1,Normal,16.5,0,0,44.3,2.7,"Heimzählerstand weiterhin 209,4 kWh"
Renault,ZOE Intens R240,20.12.2017,441,43,82,Winter tires,1,1,1,Normal,18.7,0,0,31,4.9,"Heimzählerstand 189,3 kWh<br />Neuer Startwert: 209,4 kWh (wg. Ladung Leihwagen)"
Renault,ZOE Intens R240,28.11.2017,602,43,102,Winter tires,1,0,1,Normal,17,0,0,29.3,3.2,"Heimzählerstand 123,4 kWh"
Renault,ZOE Intens R240,21.10.2017,329,43,50,Summer tires,1,0,1,Normal,15.4,0,0,33,1.6,"Heimzählerstand 53,6 kWh"
Renault,ZOE Intens R240,30.09.2017,525,43,78,Summer tires,1,0,1,Normal,14.8,0,0,30.6,1,"Heimzählerstand 28,7 kWh"
Renault,ZOE Intens R240,31.08.2017,452,43,65,Summer tires,1,0,1,Normal,14.4,0,0,30.9,0.6,"Heimzählerstand: 7,4 kWh"
