manufacturer,version,fuel_date,trip_distance(km),power(kW),quantity(kWh),tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
Volkswagen,e-Golf,04.11.2015,79,85,16.24,Winter tires,0,0,1,Fast,16.3,1,1,58,3.6,
Volkswagen,e-Golf,03.11.2015,94,85,19.95,Winter tires,1,1,1,Normal,16.2,1,1,69,3.5,
Volkswagen,e-Golf,30.10.2015,79,85,16.11,Winter tires,0,0,1,Normal,14.1,1,1,56,1.4,
Volkswagen,e-Golf,29.10.2015,83,85,16.2,Winter tires,0,1,1,Normal,15.7,1,1,60,3,
Volkswagen,e-Golf,27.10.2015,90,85,16.9,Winter tires,0,0,1,Normal,15.4,1,1,52,2.7,
Volkswagen,e-Golf,26.10.2015,101,85,18.66,Winter tires,0,1,1,Normal,14.9,1,1,57,2.2,
Volkswagen,e-Golf,25.10.2015,71,85,14.01,Winter tires,0,0,1,Normal,16.1,1,1,65,3.4,
Volkswagen,e-Golf,24.10.2015,72,85,12.86,Winter tires,0,0,1,Normal,14.6,1,1,57,1.9,
Volkswagen,e-Golf,23.10.2015,72,85,13.93,Winter tires,0,0,1,Normal,15.7,1,1,60,3,
Volkswagen,e-Golf,22.10.2015,83,85,16.73,Winter tires,0,1,1,Normal,15.9,1,1,62,3.2,
Volkswagen,e-Golf,21.10.2015,80,85,15.32,Winter tires,0,0,1,Normal,15.4,1,1,60,2.7,
Volkswagen,e-Golf,20.10.2015,73,85,15.21,Winter tires,0,1,1,Normal,16.2,1,0,60,3.5,
Volkswagen,e-Golf,15.10.2015,77,85,15.82,Summer tires,0,0,1,Fast,15.8,0,1,58,3.1,
Volkswagen,e-Golf,12.10.2015,58,85,14.67,Summer tires,0,1,0,Fast,17.3,0,1,75,4.6,PV Überschuß
Volkswagen,e-Golf,10.10.2015,75,85,8.78,Summer tires,0,1,1,Normal,14.5,0,0,60,1.8,CCS
Volkswagen,e-Golf,10.10.2015,81,85,15.79,Summer tires,1,1,1,Normal,13.8,0,0,53,1.1,
Volkswagen,e-Golf,09.10.2015,91,85,15.4,Summer tires,0,1,1,Normal,13.9,0,1,59,1.2,
Volkswagen,e-Golf,08.10.2015,101,85,17.5,Summer tires,1,1,1,Normal,14.4,0,1,54,1.7,
Volkswagen,e-Golf,07.10.2015,92,85,15.55,Summer tires,0,1,1,Normal,13.5,0,1,55,0.8,
Volkswagen,e-Golf,06.10.2015,77,85,13.21,Summer tires,0,1,1,Normal,13.9,0,1,51,1.2,
Volkswagen,e-Golf,01.10.2015,78,85,9.22,Summer tires,0,1,1,Normal,14.2,0,0,57,1.5,
Volkswagen,e-Golf,01.10.2015,77,85,13.62,Summer tires,0,1,1,Normal,14,0,1,59,1.3,
Volkswagen,e-Golf,30.09.2015,95,85,16.88,Summer tires,0,1,1,Normal,14.4,0,1,49,1.7,
Volkswagen,e-Golf,29.09.2015,75,85,13.11,Summer tires,0,1,1,Normal,13.6,0,1,52,0.9,
Volkswagen,e-Golf,26.09.2015,71,85,11.81,Summer tires,0,1,1,Normal,13.8,0,1,61,1.1,
Volkswagen,e-Golf,25.09.2015,70,85,11.48,Summer tires,0,1,1,Normal,13.2,0,1,63,0.5,
Volkswagen,e-Golf,24.09.2015,12,85,8.18,Summer tires,0,0,1,Normal,14.7,0,1,43,2,
Volkswagen,e-Golf,23.09.2015,73,85,5.65,Summer tires,0,0,1,Normal,13.2,0,0,51,0.5,
Volkswagen,e-Golf,23.09.2015,70,85,11.7,Summer tires,0,1,1,Normal,13.5,0,1,61,0.8,
Volkswagen,e-Golf,22.09.2015,73,85,11.92,Summer tires,0,0,1,Normal,12.9,0,1,51,0.2,
Volkswagen,e-Golf,21.09.2015,11,85,2.91,Summer tires,0,0,1,Fast,22.4,0,1,52,9.7,
Volkswagen,e-Golf,19.09.2015,71,85,11.45,Summer tires,0,0,1,Normal,13.3,0,0,52,0.6,
Volkswagen,e-Golf,18.09.2015,70,85,12.41,Summer tires,0,1,1,Normal,14.4,0,1,58,1.7,
Volkswagen,e-Golf,17.09.2015,69,85,11.53,Summer tires,0,0,1,Normal,13.2,0,1,60,0.5,
Volkswagen,e-Golf,14.09.2015,71,85,11.84,Summer tires,0,0,1,Normal,13.1,0,0,70,0.4,
Volkswagen,e-Golf,13.09.2015,105,85,13.85,Summer tires,0,1,1,Normal,14.4,1,0,73,1.7,CCS
Volkswagen,e-Golf,13.09.2015,141,85,14.88,Summer tires,0,1,1,Moderate,12,0,0,71,-0.7,CCS
Volkswagen,e-Golf,12.09.2015,90,85,15.16,Summer tires,0,0,1,Normal,13.8,1,0,57,1.1,
Volkswagen,e-Golf,11.09.2015,74,85,12.39,Summer tires,0,0,1,Normal,14,1,0,60,1.3,
Volkswagen,e-Golf,10.09.2015,70,85,11.25,Summer tires,0,0,1,Normal,13.1,1,1,61,0.4,
Volkswagen,e-Golf,09.09.2015,70,85,11.49,Summer tires,0,0,1,Normal,13,1,1,61,0.3,
Volkswagen,e-Golf,08.09.2015,72,85,11.91,Summer tires,0,0,1,Normal,13.3,1,1,53,0.6,
Volkswagen,e-Golf,05.09.2015,91,85,11.89,Summer tires,0,0,1,Normal,13.2,1,0,53,0.5,
Volkswagen,e-Golf,04.09.2015,121,85,19.01,Summer tires,0,1,1,Normal,12.8,1,1,55,0.1,
Volkswagen,e-Golf,03.09.2015,117,85,17.53,Summer tires,0,1,1,Normal,12.5,1,0,54,-0.2,
Volkswagen,e-Golf,02.09.2015,126,85,19.87,Summer tires,0,1,1,Normal,12.9,1,0,53,0.2,
Volkswagen,e-Golf,01.09.2015,123,85,19.35,Summer tires,0,1,1,Normal,12.9,1,1,57,0.2,
Volkswagen,e-Golf,29.08.2015,77,85,6,Summer tires,0,0,1,Normal,13.5,1,0,50,0.8,"PV Test, Ladestrom 5A"
Volkswagen,e-Golf,28.08.2015,73,85,11.85,Summer tires,0,0,1,Normal,13,1,0,54,0.3,
Volkswagen,e-Golf,27.08.2015,94,85,15.3,Summer tires,0,0,1,Normal,13.4,1,0,52,0.7,
Volkswagen,e-Golf,26.08.2015,74,85,11.7,Summer tires,0,0,1,Moderate,12.9,0,0,59,0.2,
Volkswagen,e-Golf,25.08.2015,86,85,13.6,Summer tires,0,0,1,Normal,13.2,0,0,54,0.5,
